,artist,year,song,danceability
1069,Trey Songz,2009,Say Aah (feat. Fabolous),0.724
1070,Jason Derulo,2010,Whatcha Say,0.615
1071,Drake,2010,Over,0.325
1072,Example,2010,Kickstarts,0.61
1073,Plan B,2010,She Said,0.72
1074,The Saturdays,2010,Higher,0.639
1075,Jay Sean,2009,Do You Remember,0.855
1076,Usher,2010,Hey Daddy (Daddy's Home),0.59
1077,Lil Wayne,2010,Right Above It,0.376
1078,The Wanted,2010,All Time Low,0.689
1079,Kesha,2010,Your Love Is My Drug,0.826
1080,Ellie Goulding,2010,Starry Eyed,0.504
1081,Drake,2010,Find Your Love,0.625
1082,Jason Derulo,2010,Ridin' Solo,0.442
1083,Two Door Cinema Club,2010,What You Know,0.55
1084,JAY-Z,2009,Young Forever,0.637
1085,Young Money,2009,BedRock,0.733
1086,B.o.B,2010,Nothin' on You (feat. Bruno Mars),0.688
1087,Katy Perry,2010,Teenage Dream,0.719
1088,Scouting For Girls,2017,This Ain't a Love Song,0.458
1089,Travie McCoy,2010,Billionaire (feat. Bruno Mars),0.633
1090,Owl City,2009,Fireflies,0.512
1091,Alicia Keys,2009,Empire State of Mind (Part II) Broken Down,0.484
1092,Lady A,2010,Need You Now,0.581
1093,Taylor Swift,2010,Back To December,0.529
1094,Neon Trees,2010,Animal,0.482
1095,Kris Allen,2009,Live Like We're Dying,0.589
1096,Matt Cardle,2011,When We Collide,0.443
1097,Robyn,2010,Dancing On My Own,0.687
1098,The Band Perry,2010,If I Die Young,0.606
1099,B.o.B,2010,Magic (feat. Rivers Cuomo),0.549
1100,Adele,2011,Rolling in the Deep,0.73
1101,Maroon 5,2010,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",0.722
1102,LMFAO,2011,Party Rock Anthem,0.751
1103,Katy Perry,2010,Firework,0.638
1104,Bruno Mars,2010,Grenade,0.704
1105,Pitbull,2011,Hey Baby (Drop It to the Floor) (feat. T-Pain),0.595
1106,Alexandra Stan,2011,Mr. Saxobeat,0.726
1107,David Guetta,2010,Who's That Chick? (feat. Rihanna),0.675
1108,Jennifer Lopez,2011,On The Floor,0.73
1109,Rihanna,2010,S&M,0.767
1110,Kesha,2010,Blow,0.753
1111,Snoop Dogg,2011,Sweat - Remix,0.813
1112,Taio Cruz,2010,Higher,0.672
1113,Usher,2010,More - RedOne Jimmy Joker Remix,0.551
1114,Example,2011,Changed the Way You Kiss Me - Radio Edit,0.578
1115,Black Eyed Peas,2010,Just Can’t Get Enough,0.659
1116,David Guetta,2012,Where Them Girls At (feat. Nicki Minaj & Flo Rida),0.666
1117,Lykke Li,2011,I Follow Rivers - The Magician Remix,0.786
1118,Pitbull,2011,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",0.671
1119,Selena Gomez & The Scene,2011,Love You Like A Love Song,0.858
1120,Wiz Khalifa,2011,Black and Yellow,0.684
1121,Katy Perry,2012,E.T.,0.62
1122,Britney Spears,2011,I Wanna Go,0.696
1123,Gym Class Heroes,2011,Stereo Hearts (feat. Adam Levine),0.646
1124,Edward Maya,2010,Stereo Love - Radio Edit,0.799
1125,Enrique Iglesias,2010,Tonight (I'm Fuckin' You),0.648
1126,Jeremih,2010,Down On Me,0.7
1127,Sak Noel,2011,Loca People - Radio Edit,0.926
1128,Olly Murs,2011,Heart Skips a Beat (feat. Rizzle Kicks),0.843
1129,LMFAO,2011,Sexy And I Know It,0.707
1130,Cobra Starship,2011,You Make Me Feel... (feat. Sabi),0.668
1131,Jessie J,2011,Do It Like A Dude,0.663
1132,DJ Fresh,2012,Louder (feat. Sian Evans) - Radio Edit,0.31
1133,Waka Flocka Flame,2010,No Hands (feat. Roscoe Dash & Wale),0.76
1134,Nickelback,2011,When We Stand Together,0.446
1135,M83,2011,Midnight City,0.507
1136,Britney Spears,2011,Till the World Ends,0.693
1137,Labrinth,2012,Earthquake (feat. Tinie Tempah),0.54
1138,Jason Derulo,2011,Don't Wanna Go Home,0.671
1139,Coldplay,2011,Paradise,0.449
1140,Katy Perry,2012,Last Friday Night (T.G.I.F.),0.649
1141,Adele,2011,Set Fire to the Rain,0.603
1142,Dr. Dre,2011,I Need A Doctor,0.594
1143,Lil Wayne,2011,6 Foot 7 Foot,0.364
1144,DJ Khaled,2011,I'm On One,0.413
1145,Chris Brown,2011,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),0.767
1146,Far East Movement,2010,Rocketeer,0.664
1147,The Wanted,2011,Glad You Came,0.722
1148,Kesha,2010,We R Who We R,0.736
1149,Kelly Rowland,2011,Motivation,0.744
1150,Rihanna,2011,We Found Love,0.735
1151,Nicole Scherzinger,2011,Don't Hold Your Breath,0.66
1152,Mann,2011,Buzzin Remix,0.687
1153,Chris Brown,2011,Yeah 3x,0.705
1154,Swedish House Mafia,2011,Save The World,0.507
1155,Kanye West,2010,All Of The Lights,0.531
1156,Miguel,2010,Sure Thing,0.684
1157,Diddy - Dirty Money,2010,Coming Home,0.392
1158,Rihanna,2010,What's My Name?,0.692
1159,Chris Brown,2019,Beautiful People,0.415
1160,Avril Lavigne,2011,What the Hell,0.578
1161,Professor Green,2011,Read All About It,0.656
1162,Chase & Status,2011,Blind Faith,0.45
1163,Chip,2011,Champion (feat. Chris Brown),0.415
1164,Selena Gomez & The Scene,2011,Who Says,0.682
1165,Rizzle Kicks,2011,Down With The Trumpets,0.753
1166,Lady Gaga,2011,Born This Way,0.587
1167,Nicki Minaj,2010,Super Bass,0.72
1168,Mac Miller,2011,Donald Trump,0.636
1169,Calvin Harris,2012,Bounce (feat. Kelis) - Radio Edit,0.779
1170,David Guetta,2012,Without You (feat. Usher),0.608
1171,Foster The People,2011,Pumped Up Kicks,0.733
1172,Drake,2011,Headlines,0.636
1173,Jessie J,2011,Price Tag,0.636
1174,Jason Aldean,2010,Dirt Road Anthem,0.678
1175,Wiz Khalifa,2011,Roll Up,0.523
1176,OneRepublic,2009,Good Life,0.634
1177,Bad Meets Evil,2011,Lighters,0.676
1178,Bruno Mars,2010,The Lazy Song,0.794
1179,Lupe Fiasco,2011,The Show Goes On,0.591
1180,James Morrison,2011,I Won't Let You Go,0.537
1181,Jason Derulo,2011,It Girl,0.668
1182,Adele,2011,Someone Like You,0.554
1183,Red Hot Chili Peppers,2011,The Adventures of Rain Dance Maggie,0.683
1184,Keri Hilson,2010,Pretty Girl Rock,0.666
1185,P!nk,2010,F**kin' Perfect,0.563
1186,Blake Shelton,2011,Honey Bee,0.481
1187,Lady Gaga,2011,The Edge Of Glory,0.583
1188,Lady A,2011,Just A Kiss,0.593
1189,Hot Chelle Rae,2011,Tonight Tonight,0.686
1190,Grouplove,2011,Tongue Tied,0.56
1191,Coldplay,2011,Every Teardrop Is a Waterfall,0.425
1192,Beyoncé,2011,Best Thing I Never Had,0.545
1193,P!nk,2010,Raise Your Glass,0.7
1194,Christina Perri,2011,Jar of Hearts,0.349
1195,Bruno Mars,2010,Marry You,0.621
1196,The Band Perry,2010,If I Die Young,0.606
1197,Lil Wayne,2011,How To Love,0.644
1198,Charlene Soraia,2011,Wherever You Will Go,0.597
1199,Christina Perri,2011,A Thousand Years,0.421
1200,Rihanna,2011,We Found Love,0.735
1201,Carly Rae Jepsen,2012,Call Me Maybe,0.783
1202,fun.,2012,We Are Young (feat. Janelle Monáe),0.378
1203,Sean Paul,2012,She Doesn't Mind,0.718
1204,Pitbull,2011,International Love (feat. Chris Brown),0.67
1205,DEV,2012,In The Dark,0.736
1206,Adele,2012,Skyfall,0.346
1207,David Guetta,2012,Turn Me On (feat. Nicki Minaj),0.704
1208,Rihanna,2011,Where Have You Been,0.719
1209,JAY-Z,2011,Ni**as In Paris,0.789
1210,Maroon 5,2012,One More Night,0.716
1211,Skrillex,2011,Bangarang (feat. Sirah),0.716
1212,The Wanted,2012,Chasing The Sun,0.637
1213,Flo Rida,2012,Whistle,0.747
1214,will.i.am,2013,This Is Love,0.535
1215,David Guetta,2012,She Wolf (Falling to Pieces) [feat. Sia],0.492
1216,Nicki Minaj,2012,Pound The Alarm,0.728
1217,Kendrick Lamar,2012,Swimming Pools (Drank) - Extended Version,0.716
1218,MARINA,2012,Primadonna,0.66
1219,Kanye West,2012,Mercy,0.563
1220,DJ Fresh,2012,Hot Right Now (feat. RITA ORA) - Radio Edit,0.524
1221,LMFAO,2011,Sexy And I Know It,0.707
1222,PSY,2012,Gangnam Style (강남스타일),0.727
1223,Kesha,2012,Die Young,0.711
1224,Usher,2012,Scream,0.616
1225,Olly Murs,2012,Troublemaker (feat. Flo Rida),0.762
1226,Linkin Park,2012,BURN IT DOWN,0.585
1227,Bruno Mars,2012,Locked out of Heaven,0.726
1228,Avicii,2011,Levels - Radio Edit,0.584
1229,Flo Rida,2012,Good Feeling,0.706
1230,Rihanna,2012,Diamonds,0.564
1231,Wiz Khalifa,2012,"Work Hard, Play Hard",0.787
1232,Katy Perry,2012,Part Of Me,0.678
1233,Nicki Minaj,2012,Starships,0.747
1234,Kendrick Lamar,2012,m.A.A.d city,0.487
1235,Asaf Avidan & the Mojos,2012,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],0.821
1236,Florence + The Machine,2011,Spectrum (Say My Name) - Calvin Harris Remix,0.578
1237,Azealia Banks,2014,212,0.847
1238,Maroon 5,2012,Payphone,0.743
1239,James Arthur,2013,Impossible,0.376
1240,Michel Teló,2012,Ai Se Eu Te Pego - Live,0.676
1241,Otto Knows,2012,Million Voices - Radio Edit,0.582
1242,Icona Pop,2012,I Love It,0.71
1243,Tyga,2012,Rack City,0.929
1244,Calvin Harris,2012,Feel So Close - Radio Edit,0.707
1245,Jennifer Lopez,2012,Dance Again,0.797
1246,Grimes,2012,Oblivion,0.697
1247,Adele,2011,Rumour Has It,0.612
1248,Coldplay,2011,Paradise,0.449
1249,Chris Brown,2012,Turn Up the Music,0.594
1250,Frank Ocean,2012,Lost,0.913
1251,Calvin Harris,2012,Let's Go (feat. Ne-Yo),0.71
1252,The Script,2012,Hall of Fame (feat. will.i.am),0.421
1253,Swedish House Mafia,2012,Don't You Worry Child - Radio Edit,0.612
1254,MARINA,2012,How to Be a Heartbreaker,0.69
1255,Justin Bieber,2012,Boyfriend,0.717
1256,David Guetta,2012,Titanium (feat. Sia),0.604
1257,Jessie J,2011,Domino,0.758
1258,Taylor Swift,2012,I Knew You Were Trouble.,0.622
1259,ScHoolboy Q,2012,Hands on the Wheel (feat. Asap Rocky),0.646
1260,P!nk,2012,Try,0.674
1261,Robbie Williams,2012,Candy,0.715
1262,Snoop Dogg,2011,"Young, Wild & Free (feat. Bruno Mars)",0.715
1263,Justin Bieber,2012,As Long As You Love Me,0.571
1264,Rita Ora,2012,R.I.P. (feat. Tinie Tempah),0.603
1265,Alex Clare,2011,Too Close,0.588
1266,Tyga,2012,Faded,0.831
1267,Alesso,2012,Years - ラジオ・エディット,0.37
1268,Guy Sebastian,2012,Battle Scars (feat. Lupe Fiasco),0.61
1269,Katy Perry,2012,The One That Got Away,0.687
1270,Avicii,2012,Silhouettes - Original Radio Edit,0.605
1271,Gotye,2011,Somebody That I Used To Know,0.863
1272,Flo Rida,2012,Wild Ones (feat. Sia),0.608
1273,One Direction,2012,What Makes You Beautiful,0.726
1274,Lana Del Rey,2012,Born To Die,0.18
1275,Kesha,2012,C'Mon,0.558
1276,Owl City,2012,Good Time,0.56
1277,Calvin Harris,2012,We'll Be Coming Back (feat. Example),0.596
1278,Emeli Sandé,2012,"Read All About It, Pt. III",0.63
1279,Ellie Goulding,2010,Lights - Single Version,0.682
1280,Train,2012,Drive By,0.765
1281,Disclosure,2013,Latch,0.503
1282,Coldplay,2011,Princess of China,0.42
1283,One Direction,2012,Live While We're Young,0.658
1284,Gym Class Heroes,2011,Ass Back Home (feat. Neon Hitch),0.716
1285,Carrie Underwood,2012,Blown Away,0.531
1286,alt-J,2012,Breezeblocks,0.616
1287,Chris Brown,2012,Don't Wake Me Up,0.602
1288,Kelly Clarkson,2011,Stronger (What Doesn't Kill You),0.562
1289,Drake,2011,The Motto,0.766
1290,Katy Perry,2012,Wide Awake,0.514
1291,Rita Ora,2012,How We Do (Party),0.738
1292,Rudimental,2013,Feel the Love (feat. John Newman),0.389
1293,Lana Del Rey,2012,Ride,0.373
1294,Ne-Yo,2012,Let Me Love You (Until You Learn To Love Yourself),0.658
1295,Demi Lovato,2011,Give Your Heart a Break,0.651
1296,Drake,2011,Take Care,0.629
1297,Little Mix,2012,Wings,0.738
1298,Bruno Mars,2011,It Will Rain,0.576
1299,Cher Lloyd,2011,Want U Back,0.696
1300,Lorde,2013,Royals,0.674
1301,Robin Thicke,2013,Blurred Lines,0.861
1302,Imagine Dragons,2012,Radioactive,0.448
1303,Avicii,2013,Wake Me Up,0.532
1304,Bruno Mars,2012,Locked out of Heaven,0.726
1305,Macklemore & Ryan Lewis,2012,Thrift Shop (feat. Wanz),0.781
1306,Daft Punk,2013,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,0.794
1307,will.i.am,2013,Scream & Shout,0.772
1308,Stromae,2013,Papaoutai,0.733
1309,Bingo Players,2013,Get Up (Rattle) - Vocal Edit,0.801
1310,Naughty Boy,2013,La La La,0.754
1311,Tom Odell,2013,Another Love,0.445
1312,2 Chainz,2013,We Own It (Fast & Furious),0.563
1313,David Guetta,2012,Play Hard (feat. Ne-Yo & Akon),0.691
1314,Pitbull,2012,Feel This Moment (feat. Christina Aguilera),0.673
1315,will.i.am,2013,#thatPOWER,0.797
1316,Lil Wayne,2013,Love Me,0.669
1317,Macklemore & Ryan Lewis,2012,Can't Hold Us (feat. Ray Dalton),0.641
1318,Martin Garrix,2013,Animals - Radio Edit,0.593
1319,Jason Derulo,2013,Talk Dirty (feat. 2 Chainz),0.76
1320,John Newman,2013,Love Me Again,0.495
1321,Britney Spears,2013,Work B**ch,0.63
1322,The Neighbourhood,2013,Sweater Weather,0.612
1323,Sebastian Ingrosso,2013,Reload - Radio Edit,0.485
1324,Capital Cities,2013,Safe And Sound,0.652
1325,Demi Lovato,2013,Heart Attack,0.504
1326,Arctic Monkeys,2013,Why'd You Only Call Me When You're High?,0.691
1327,Justin Bieber,2012,Beauty And A Beat,0.602
1328,Eminem,2013,The Monster,0.781
1329,Pitbull,2012,Don't Stop the Party (feat. TJR),0.722
1330,Selena Gomez,2013,Come & Get It,0.546
1331,P!nk,2012,True Love (feat. Lily Allen),0.457
1332,Disclosure,2013,White Noise,0.665
1333,Flo Rida,2012,I Cry,0.693
1334,Kanye West,2013,Black Skinhead,0.578
1335,Lana Del Rey,2013,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,0.572
1336,Eminem,2013,Berzerk,0.739
1337,Icona Pop,2013,I Love It (feat. Charli XCX),0.711
1338,Fall Out Boy,2013,My Songs Know What You Did In The Dark (Light Em Up),0.558
1339,Lorde,2013,Team,0.691
1340,Avicii,2012,I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,0.509
1341,Imagine Dragons,2012,Demons,0.505
1342,One Direction,2013,One Way or Another (Teenage Kicks),0.489
1343,Taylor Swift,2012,I Knew You Were Trouble.,0.622
1344,Arctic Monkeys,2013,Do I Wanna Know?,0.548
1345,Rudimental,2013,Waiting All Night (feat. Ella Eyre),0.544
1346,Klangkarussell,2014,Sonnentanz - Sun Don't Shine,0.579
1347,Calvin Harris,2012,Drinking from the Bottle (feat. Tinie Tempah),0.665
1348,A$AP Rocky,2013,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",0.853
1349,P!nk,2012,Try,0.674
1350,Ylvis,2013,The Fox (What Does the Fox Say?),0.703
1351,Ellie Goulding,2014,Burn,0.559
1352,Baauer,2013,Harlem Shake,0.452
1353,Calvin Harris,2012,I Need Your Love (feat. Ellie Goulding),0.695
1354,Katy Perry,2013,This Is How We Do,0.69
1355,AWOLNATION,2011,Sail,0.825
1356,Duke Dumont,2013,Need U (100%) [feat. A*M*E] - Radio Edit,0.681
1357,Jason Derulo,2013,The Other Side,0.561
1358,Storm Queen,2014,Look Right Through - MK Vocal Edit,0.832
1359,Calvin Harris,2012,Sweet Nothing (feat. Florence Welch),0.573
1360,Katy Perry,2013,Unconditionally,0.555
1361,Wale,2013,Bad (feat. Rihanna) - Remix,0.807
1362,Ciara,2013,Body Party,0.577
1363,Drake,2013,Started From the Bottom,0.794
1364,Birdy,2013,Wings,0.474
1365,Bastille,2013,Of The Night,0.67
1366,Olly Murs,2012,Dear Darlin',0.512
1367,Katy Perry,2013,Roar,0.554
1368,Blake Shelton,2013,Sure Be Cool If You Did,0.576
1369,Calvin Harris,2012,Thinking About You (feat. Ayah Marar),0.725
1370,JAY-Z,2013,Holy Grail,0.676
1371,Bridgit Mendler,2012,Ready or Not,0.715
1372,The Saturdays,2013,What About Us,0.704
1373,Bastille,2013,Pompeii,0.679
1374,One Direction,2013,Best Song Ever,0.652
1375,Nelly,2013,Hey Porsche,0.726
1376,Zedd,2012,Clarity,0.523
1377,Miley Cyrus,2013,Wrecking Ball,0.53
1378,Chris Brown,2013,Fine China,0.659
1379,Daft Punk,2013,Lose Yourself to Dance (feat. Pharrell Williams),0.832
1380,Armin van Buuren,2013,This Is What It Feels Like,0.551
1381,Justin Timberlake,2013,Mirrors,0.574
1382,Bruno Mars,2012,Treasure,0.874
1383,Of Monsters and Men,2012,Little Talks,0.457
1384,Miley Cyrus,2013,We Can't Stop,0.613
1385,J. Cole,2013,Power Trip (feat. Miguel),0.667
1386,Paramore,2013,Still into You,0.602
1387,Christina Perri,2013,human,0.439
1388,Drake,2013,"Hold On, We're Going Home",0.773
1389,James Blunt,2013,Bonfire Heart,0.575
1390,Maroon 5,2012,Daylight,0.656
1391,Childish Gambino,2013,3005,0.681
1392,Avril Lavigne,2013,Here's to Never Growing Up,0.483
1393,Taylor Swift,2012,22,0.661
1394,Passenger,2012,Let Her Go,0.509
1395,Ariana Grande,2013,The Way,0.645
1396,Rihanna,2012,Stay,0.621
1397,Justin Timberlake,2013,Suit & Tie (feat. Jay-Z),0.795
1398,Bruno Mars,2012,When I Was Your Man,0.612
1399,Florida Georgia Line,2012,Cruise,0.457
1400,Pharrell Williams,2014,"Happy - From ""Despicable Me 2""",0.647
1401,Katy Perry,2013,Dark Horse,0.647
1402,ScHoolboy Q,2014,Collard Greens,0.826
1403,Iggy Azalea,2014,Fancy,0.912
1404,Maroon 5,2014,Animals,0.279
1405,Sam Smith,2014,Stay With Me,0.418
1406,MAGIC!,2014,Rude,0.773
1407,Sia,2014,Chandelier,0.399
1408,John Legend,2013,All of Me,0.422
1409,ZHU,2014,Faded,0.861
1410,Meghan Trainor,2015,All About That Bass,0.807
1411,David Guetta,2014,Lovers on the Sun (feat. Sam Martin),0.645
1412,Iggy Azalea,2014,Black Widow,0.743
1413,Tove Lo,2014,Habits (Stay High),0.733
1414,Oliver Heldens,2014,Gecko (Overdrive) - Radio Edit,0.609
1415,DJ Snake,2014,You Know You Like It,0.407
1416,Jason Derulo,2013,Talk Dirty (feat. 2 Chainz),0.76
1417,Maroon 5,2014,Maps,0.737
1418,David Guetta,2014,Bad (feat. Vassy) - Radio Edit,0.614
1419,Tinashe,2014,2 On (feat. ScHoolboy Q),0.742
1420,Route 94,2014,My Love (feat. Jess Glynne),0.814
1421,Taylor Swift,2014,Bad Blood,0.646
1422,Trey Songz,2015,Na Na,0.67
1423,Calvin Harris,2014,Under Control (feat. Hurts),0.544
1424,O.T. Genasis,2014,CoCo,0.886
1425,Jason Derulo,2013,Wiggle (feat. Snoop Dogg),0.697
1426,Lilly Wood and The Prick,2014,Prayer in C - Robin Schulz Radio Edit,0.76
1427,Jeremih,2015,Don't Tell 'Em,0.856
1428,Nicki Minaj,2014,Anaconda,0.964
1429,Calvin Harris,2014,Blame (feat. John Newman),0.414
1430,DJ Snake,2013,Turn Down for What,0.818
1431,Pitbull,2012,Timber (feat. Ke$ha),0.581
1432,OneRepublic,2014,Counting Stars,0.663
1433,Bobby Shmurda,2014,Hot N*gga,0.794
1434,Calvin Harris,2014,Summer,0.603
1435,ScHoolboy Q,2014,Man Of The Year,0.743
1436,Nico & Vinz,2014,Am I Wrong,0.729
1437,Becky G,2014,Shower,0.699
1438,Sigma,2014,Nobody To Love - Radio Edit,0.441
1439,The Chainsmokers,2014,#SELFIE - Original Mix,0.789
1440,Lorde,2013,Team,0.69
1441,Rixton,2014,Me And My Broken Heart,0.545
1442,Klingande,2013,Jubel - Radio Edit,0.686
1443,Mr. Probz,2014,Waves - Robin Schulz Radio Edit,0.829
1444,Paloma Faith,2014,Only Love Can Hurt Like This,0.566
1445,Kiesza,2014,Hideaway,0.838
1446,Ellie Goulding,2014,Burn,0.559
1447,Ariana Grande,2014,Break Free,0.687
1448,Kid Ink,2014,Show Me (feat. Chris Brown),0.711
1449,Tove Lo,2014,Talking Body,0.736
1450,Chris Brown,2014,Loyal (feat. Lil Wayne & Tyga),0.841
1451,OneRepublic,2014,Love Runs Out,0.719
1452,Olly Murs,2014,Up (feat. Demi Lovato),0.69
1453,Peking Duk,2014,High (feat. Nicole Millar),0.525
1454,Milky Chance,2014,Stolen Dance,0.885
1455,Ed Sheeran,2014,Don't,0.806
1456,Ariana Grande,2014,Love Me Harder,0.472
1457,Enrique Iglesias,2014,Bailando - Spanish Version,0.718
1458,Avicii,2013,Hey Brother,0.545
1459,Jessie J,2014,Bang Bang,0.706
1460,Duke Dumont,2014,I Got U,0.636
1461,Gorgon City,2014,Ready For Your Love,0.677
1462,Taylor Swift,2014,Style,0.588
1463,MKTO,2012,Classic,0.72
1464,Disclosure,2013,Latch,0.503
1465,Ariana Grande,2014,Problem,0.66
1466,Charli XCX,2014,Boom Clap,0.659
1467,One Direction,2014,Steal My Girl,0.536
1468,Tiësto,2013,Red Lights,0.653
1469,Selena Gomez,2014,The Heart Wants What It Wants,0.616
1470,Rita Ora,2014,I Will Never Let You Down,0.753
1471,5 Seconds of Summer,2014,She Looks So Perfect,0.494
1472,The Script,2014,Superheroes,0.49
1473,Taylor Swift,2014,Shake It Off,0.647
1474,One Direction,2014,Night Changes,0.672
1475,Ed Sheeran,2014,Sing,0.818
1476,Alesso,2014,Heroes (we could be),0.521
1477,Tiësto,2014,Wasted,0.645
1478,G.R.L.,2014,Ugly Heart,0.65
1479,Coldplay,2014,A Sky Full of Stars,0.545
1480,Clean Bandit,2014,Rather Be (feat. Jess Glynne),0.799
1481,Zedd,2014,Stay The Night - Featuring Hayley Williams Of Paramore,0.596
1482,Sia,2014,Elastic Heart,0.421
1483,One Direction,2013,Story of My Life,0.6
1484,Alex & Sierra,2014,Little Do You Know,0.5
1485,Omarion,2014,Post to Be (feat. Chris Brown & Jhene Aiko),0.733
1486,Echosmith,2013,Cool Kids,0.719
1487,Natalie La Rose,2014,Somebody,0.83
1488,Vance Joy,2014,Riptide,0.484
1489,Beyoncé,2014,Drunk in Love (feat. Jay-Z),0.589
1490,Maroon 5,2014,Sugar,0.744
1491,Ella Henderson,2014,Ghost,0.68
1492,Ed Sheeran,2013,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",0.581
1493,Chris Brown,2014,New Flame (feat. Usher & Rick Ross),0.702
1494,Sheppard,2014,Geronimo,0.707
1495,Olly Murs,2014,Wrapped Up (feat. Travie McCoy),0.787
1496,Sam Smith,2014,Money On My Mind,0.688
1497,Jason Derulo,2013,Trumpets,0.627
1498,Nicki Minaj,2014,Bed Of Lies,0.716
1499,Nick Jonas,2014,Jealous - Remix,0.685
1500,Mark Ronson,2015,Uptown Funk (feat. Bruno Mars),0.856
1501,Ed Sheeran,2014,Thinking out Loud,0.781
1502,Wiz Khalifa,2015,See You Again (feat. Charlie Puth),0.689
1503,Justin Bieber,2015,What Do You Mean?,0.845
1504,Major Lazer,2015,Lean On (feat. MØ & DJ Snake),0.723
1505,The Weeknd,2014,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",0.659
1506,Ellie Goulding,2015,"Love Me Like You Do - From ""Fifty Shades Of Grey""",0.262
1507,Calvin Harris,2014,Outside (feat. Ellie Goulding),0.646
1508,David Guetta,2014,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",0.596
1509,Demi Lovato,2015,Cool for the Summer,0.586
1510,Taylor Swift,2014,Blank Space,0.76
1511,The Weeknd,2015,The Hills,0.585
1512,The Neighbourhood,2015,Daddy Issues,0.588
1513,Deorro,2015,Five More Hours,0.699
1514,Avicii,2014,The Nights,0.527
1515,DJ Snake,2014,You Know You Like It,0.407
1516,Adam Lambert,2015,Ghost Town,0.703
1517,Rae Sremmurd,2015,No Type,0.891
1518,Taylor Swift,2015,Bad Blood,0.654
1519,Flo Rida,2015,GDFR (feat. Sage the Gemini & Lookas),0.657
1520,Robin Schulz,2015,Sugar (feat. Francesco Yates),0.636
1521,Calvin Harris,2015,How Deep Is Your Love,0.738
1522,Philip George,2014,Wish You Were Mine - Radio Edit,0.654
1523,Trey Songz,2015,Na Na,0.67
1524,Fall Out Boy,2015,Centuries,0.393
1525,Rob $tone,2016,Chill Bill (feat. J. Davi$ & Spooks),0.886
1526,Lost Frequencies,2014,Are You With Me - Radio Edit,0.776
1527,Twenty One Pilots,2015,Stressed Out,0.734
1528,Fifth Harmony,2015,Worth It (feat. Kid Ink),0.884
1529,KALEO,2015,Way down We Go,0.59
1530,Sam Smith,2014,Like I Can,0.656
1531,Major Lazer,2015,Light It Up (feat. Nyla & Fuse ODG) - Remix,0.746
1532,Martin Solveig,2015,Intoxicated - New Radio Mix,0.8
1533,Avicii,2015,Waiting For Love,0.579
1534,Felix Jaehn,2018,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),0.778
1535,Taylor Swift,2014,Wildest Dreams,0.553
1536,The Weeknd,2015,In The Night,0.48
1537,Pitbull,2014,Time of Our Lives,0.721
1538,Galantis,2015,Runaway (U & I),0.506
1539,Rihanna,2015,Bitch Better Have My Money,0.781
1540,Zara Larsson,2015,Lush Life,0.658
1541,One Direction,2015,Drag Me Down,0.73
1542,Travis Scott,2015,Antidote,0.713
1543,Years & Years,2015,King,0.559
1544,Demi Lovato,2015,Confident,0.594
1545,Lemaitre,2017,Closer,0.583
1546,Selena Gomez,2015,Same Old Love,0.672
1547,Pia Mia,2015,Do It Again,0.712
1548,Flo Rida,2015,My House,0.688
1549,Silentó,2015,Watch Me (Whip / Nae Nae),0.819
1550,Chris Brown,2015,Ayo,0.823
1551,The Strumbellas,2016,Spirits,0.556
1552,Fetty Wap,2015,Trap Queen,0.746
1553,Tove Lo,2014,Talking Body,0.736
1554,Beyoncé,2014,7/11,0.747
1555,Lana Del Rey,2015,High By The Beach,0.536
1556,Zara Larsson,2017,Never Forget You,0.583
1557,Jeremih,2015,oui,0.418
1558,Drake,2016,Hotline Bling,0.891
1559,Selena Gomez,2015,Kill Em With Kindness,0.757
1560,Birdy,2015,Let It All Go,0.383
1561,Fetty Wap,2015,679 (feat. Remy Boyz),0.618
1562,Ariana Grande,2014,Love Me Harder,0.472
1563,The Weeknd,2015,Can't Feel My Face,0.705
1564,SAYGRACE,2015,You Don't Own Me (feat. G-Eazy),0.336
1565,X Ambassadors,2015,Renegades,0.526
1566,R. City,2015,Locked Away (feat. Adam Levine),0.509
1567,Kygo,2016,Stole the Show,0.64
1568,Tame Impala,2015,The Less I Know The Better,0.64
1569,Selena Gomez,2015,Good For You,0.6
1570,Fetty Wap,2015,My Way (feat. Monty),0.748
1571,Hozier,2014,Take Me To Church,0.566
1572,Taylor Swift,2014,Style,0.588
1573,Alessia Cara,2015,Here,0.379
1574,Sam Smith,2015,"Writing's On The Wall - From ""Spectre"" Soundtrack",0.261
1575,David Guetta,2015,Bang My Head (feat. Sia & Fetty Wap),0.599
