,artist,year,song,danceability
380,Sean Paul,2002,Like Glue,0.757
381,Jaheim,2002,Put That Woman First,0.649
382,Jennifer Lopez,2002,All I Have (feat. LL Cool J),0.701
383,Monica,2003,So Gone,0.618
384,Dido,2003,White Flag,0.512
385,The Roots,2002,The Seed (2.0),0.758
386,Chingy,2003,Holidae In,0.81
387,Fabolous,2003,Can't Let You Go (feat. Mike Shorey & Lil' Mo),0.646
388,Kelly Clarkson,2003,Miss Independent,0.656
389,Ja Rule,2002,Mesmerize,0.769
390,Matchbox Twenty,2002,Unwell,0.256
391,Outkast,2003,The Way You Move (feat. Sleepy Brown),0.871
392,Fabolous,2003,Into You (feat. Tamia),0.546
393,Switchfoot,2003,Meant to Live,0.397
394,Daniel Bedingfield,2002,If You're Not The One,0.688
395,Good Charlotte,2002,Lifestyles of the Rich & Famous,0.62
396,Wayne Wonder,2003,No Letting Go,0.496
397,The Strokes,2003,Reptilia,0.489
398,Avril Lavigne,2002,I'm with You,0.457
399,Will Young,2003,Leave Right Now,0.641
400,Usher,2004,Yeah! (feat. Lil Jon & Ludacris),0.894
401,Maroon 5,2002,This Love,0.712
402,Britney Spears,2003,Toxic,0.774
403,Outkast,2003,Hey Ya!,0.727
404,Hoobastank,2003,The Reason,0.472
405,Anastacia,2004,Left Outside Alone,0.663
406,Daddy Yankee,2004,Gasolina,0.857
407,Black Eyed Peas,2004,Let's Get It Started - Spike Mix,0.785
408,O-Zone,2004,Dragostea Din Tei,0.809
409,Terror Squad,2004,Lean Back,0.783
410,Anastacia,1999,Sick and Tired,0.598
411,Gwen Stefani,2004,What You Waiting For?,0.676
412,Ashanti,2004,Only U - No Intro,0.601
413,The Rasmus,2003,In the Shadows,0.6
414,Houston,2004,I Like That,0.797
415,Beyoncé,2003,Naughty Girl,0.735
416,Linkin Park,2003,Numb,0.496
417,Lloyd Banks,2004,On Fire,0.759
418,Akon,2004,Locked Up,0.818
419,D12,2004,My Band,0.851
420,Jay Sean,2004,Eyes On You - Radio Mix,0.802
421,Mario Winans,2016,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,0.833
422,Destiny's Child,2004,Lose My Breath,0.814
423,Eric Prydz,2004,Call on Me - Radio Mix,0.597
424,Ciara,2004,Goodies (feat. Petey Pablo),0.826
425,Kelis,2003,Trick Me,0.97
426,LL Cool J,2004,Headsprung,0.718
427,Spiderbait,2004,Black Betty - Edit,0.562
428,George Michael,2004,Amazing,0.805
429,Britney Spears,2004,My Prerogative,0.749
430,Nina Sky,2004,Move Ya Body,0.87
431,Baby Bash,2003,Suga Suga,0.662
432,Petey Pablo,2003,Freek-A-Leek,0.737
433,JAY-Z,2003,Dirt Off Your Shoulder,0.779
434,Juanes,2004,La Camisa Negra,0.751
435,Avril Lavigne,2004,Nobody's Home,0.348
436,Robbie Williams,2004,Radio,0.607
437,Black Eyed Peas,2003,Hey Mama,0.86
438,Ying Yang Twins,2003,Salt Shaker,0.884
